date,min_temp,max_temp,humidity,pressure
2025-07-01,25.79,34.86,77.51,97.46
2025-07-02,26.75,37.39,65.92,97.41
2025-07-03,27.46,37.14,67.72,97.49
2025-07-04,27.78,37.77,67.07,97.47
2025-07-05,27.96,38.71,64.29,97.36
2025-07-06,28.32,35.35,72.98,97.33
2025-07-07,28.46,32.76,77.23,97.44
2025-07-08,27.61,35.51,74.09,97.45
2025-07-09,27.61,36.06,72.77,97.55
2025-07-10,26.04,28.82,92.25,97.72
2025-07-11,25.39,34.42,79.95,97.7
2025-07-12,26.39,34.99,81.01,97.7
2025-07-13,26.77,34.29,79.71,97.66
2025-07-14,25.99,32.89,82.29,97.51
2025-07-15,25.39,32.28,84.37,97.48
2025-07-16,25.94,31.97,86.19,97.63
2025-07-17,25.52,32.05,82.36,97.82
2025-07-18,25.39,31.46,81.75,97.65
2025-07-19,24.89,32.53,82.24,97.45
2025-07-20,25.8,35.43,73.19,97.41
2025-07-21,24.52,27.89,88.71,97.74
2025-07-22,24.09,34.43,79.2,97.54
2025-07-23,26.12,29.1,92.4,97.31
2025-07-24,25.92,34.01,82.17,97.16
2025-07-25,27.4,35.26,78.02,97.13
2025-07-26,28.11,35.09,78.39,97.22
2025-07-27,27.68,35.5,74.34,97.22
2025-07-28,27.62,33.6,80.08,97.22
2025-07-29,26.26,29.14,92.66,97.34
2025-07-30,25.86,32.06,87.92,97.38
2025-07-31,26.24,31.52,88.67,97.49
